ID,DATE,MAX,MIN,ATOBS,PRECIP,SNOFALL,SNODEPTH
1461,1/1/1900,16,2,0,0,0,0
1462,1/2/1900,20,8,0,0.01,0.5,0
1463,1/3/1900,21,9,0,0.01,0.5,0
1464,1/4/1900,20,14,0,0,0,0
1465,1/5/1900,28,14,0,0,0,0
1466,1/6/1900,35,20,0,0,0,0
1467,1/7/1900,37,27,0,0,0,0
1468,1/8/1900,37,23,0,0,0,0
1469,1/9/1900,35,17,0,0,0,0
1470,1/10/1900,24,8,0,0,0,0
1471,1/11/1900,38,20,0,0,0,0
1472,1/12/1900,21,10,0,0,0,0
1473,1/13/1900,33,20,0,0.65,1.75,1.5
1474,1/14/1900,30,16,0,0,0,1.7
1475,1/15/1900,27,23,0,0.14,3,4.3
1476,1/16/1900,36,24,0,0,0,4
1477,1/17/1900,39,29,0,0,0,3
1478,1/18/1900,30,24,0,0,0,3
1479,1/19/1900,37,24,0,0.09,0,2
1480,1/20/1900,57,37,0,0,0,0.5
1481,1/21/1900,50,45,0,1.1,0,0
1482,1/22/1900,48,33,0,0,0,0
1483,1/23/1900,60,22,0,0,0,0
1484,1/24/1900,57,34,0,0,0,0
1485,1/25/1900,38,12,0,0,0,0
1486,1/26/1900,37,24,0,0.09,0,0
1487,1/27/1900,37,8,0,0,0,0
1488,1/28/1900,33,8,0,0,0,0
1489,1/29/1900,47,15,0,0,0,0
1490,1/30/1900,29,9,0,0.52,7,7
1491,1/31/1900,29,5,0,0,0,7
1492,2/1/1900,30,6,0,0,0,7
1493,2/2/1900,24,1,0,0,0,7
1494,2/3/1900,24,-1,0,0,0,7
1495,2/4/1900,37,6,0,0,0,7
1496,2/5/1900,39,18,0,1.23,0,5
1497,2/6/1900,45,22,0,0,0,4
1498,2/7/1900,42,17,0,0,0,3
1499,2/8/1900,33,22,0,0,0,3
1500,2/9/1900,39,29,0,0.33,0,2
1501,2/10/1900,53,24,0,0.21,0,0
1502,2/11/1900,32,21,0,0,0,0
1503,2/12/1900,39,21,0,0,0,0
1504,2/13/1900,34,29,0,0.09,0,0
1505,2/14/1900,51,33,0,2.63,,0
1506,2/15/1900,53,22,0,0,0,0
1507,2/16/1900,37,25,0,0,0,0
1508,2/17/1900,28,15,0,0,0,0
1509,2/18/1900,23,15,0,0.19,2,1
1510,2/19/1900,36,13,0,0,0,2
1511,2/20/1900,40,9,0,0,0,2
1512,2/21/1900,50,15,0,0,0,1.5
1513,2/22/1900,47,21,0,1.02,0,1.5
1514,2/23/1900,43,30,0,0.08,0,0.1
1515,2/24/1900,41,30,0,0,0,0.1
1516,2/25/1900,47,28,0,0.22,2,0.1
1517,2/26/1900,30,6,0,0,0,2
1518,2/27/1900,32,2,0,0,0,2
1519,2/28/1900,20,-5,0,0,0,2
1520,2/29/1900,23,6,0,0,0,2
1521,3/1/1900,41,22,0,3.38,0,0.1
1522,3/2/1900,39,21,0,0,0,0.1
1523,3/3/1900,54,19,0,0,0,0.1
1524,3/4/1900,54,22,0,0,0,0.1
1525,3/5/1900,56,15,0,0,0,0.1
1526,3/6/1900,36,11,0,0.65,4,3
1527,3/7/1900,60,25,0,0.06,0,2
1528,3/8/1900,51,18,0,0,0,1
1529,3/9/1900,60,23,0,0,0,0.1
1530,3/10/1900,62,28,0,0,0,0.1
1531,3/11/1900,38,13,0,0,0,0.1
1532,3/12/1900,42,5,0,0,0,0
1533,3/13/1900,40,7,0,0,0,0
1534,3/14/1900,56,19,0,0,0,0
1535,3/15/1900,20,13,0,0.14,3,3
1536,3/16/1900,47,14,0,1.12,6,8
1537,3/17/1900,22,8,0,0,0,8
1538,3/18/1900,18,2,0,0.001,0,8
1539,3/19/1900,41,15,0,0,0,6
1540,3/20/1900,53,31,0,0,0,4
1541,3/21/1900,40,20,0,0,0,3
1542,3/22/1900,48,19,0,0,0,2
1543,3/23/1900,44,30,0,0,0,1
1544,3/24/1900,49,20,0,0,0,0.1
1545,3/25/1900,49,17,0,0,0,0.1
1546,3/26/1900,32,22,0,0.06,1,1
1547,3/27/1900,47,23,0,0,0,0.1
1548,3/28/1900,43,24,0,0,0,0.1
1549,3/29/1900,51,28,0,0,0,0.1
1550,3/30/1900,42,27,0,0,0,0.1
1551,3/31/1900,47,23,0,0,0,0.1
1552,4/1/1900,54,35,0,0,0,0.1
1553,4/2/1900,55,26,0,0,0,0.1
1554,4/3/1900,49,34,0,0,0,0
1555,4/4/1900,50,30,0,0,0,0
1556,4/5/1900,55,28,0,0,0,0
1557,4/6/1900,61,38,0,0,0,0
1558,4/7/1900,61,35,0,0,0,0
1559,4/8/1900,53,30,0,0,0,0
1560,4/9/1900,46,22,0,0,0,0
1561,4/10/1900,39,23,0,0,0,0
1562,4/11/1900,49,25,0,0,0,0
1563,4/12/1900,42,32,0,0.38,0,0
1564,4/13/1900,46,35,0,0.02,0,0
1565,4/14/1900,48,32,0,0,0,0
1566,4/15/1900,60,33,0,0,0,0
1567,4/16/1900,63,38,0,0,0,0
1568,4/17/1900,49,42,0,1.4,0,0
1569,4/18/1900,56,48,0,0.58,0,0
1570,4/19/1900,68,55,0,0,0,0
1571,4/20/1900,65,45,0,0,0,0
1572,4/21/1900,68,49,0,0.89,0,0
1573,4/22/1900,60,47,0,0,0,0
1574,4/23/1900,61,53,0,0,0,0
1575,4/24/1900,64,44,0,0.39,0,0
1576,4/25/1900,62,38,0,0,0,0
1577,4/26/1900,64,41,0,0,0,0
1578,4/27/1900,52,38,0,0,0,0
1579,4/28/1900,61,37,0,0,0,0
1580,4/29/1900,70,40,0,0,0,0
1581,4/30/1900,71,51,0,0.1,0,0
1582,5/1/1900,64,47,0,99.999,99.999,0
1583,5/2/1900,65,45,0,99.999,99.999,0
1584,5/3/1900,70,51,0,99.999,99.999,0
1585,5/4/1900,55,42,0,99.999,99.999,0
1586,5/5/1900,50,39,0,99.999,99.999,0
1587,5/6/1900,54,41,0,99.999,99.999,0
1588,5/7/1900,55,38,0,99.999,99.999,0
1589,5/8/1900,67,46,0,99.999,99.999,0
1590,5/9/1900,62,40,0,99.999,99.999,0
1591,5/10/1900,48,37,0,99.999,99.999,0
1592,5/11/1900,52,41,0,99.999,99.999,0
1593,5/12/1900,61,48,0,99.999,99.999,0
1594,5/13/1900,73,60,0,99.999,99.999,0
1595,5/14/1900,79,66,0,99.999,99.999,0
1596,5/15/1900,78,71,0,99.999,99.999,0
1597,5/16/1900,74,56,0,99.999,99.999,0
1598,5/17/1900,60,57,0,99.999,99.999,0
1599,5/18/1900,70,57,0,99.999,99.999,0
1600,5/19/1900,72,60,0,99.999,99.999,0
1601,5/20/1900,49,46,0,99.999,99.999,0
1602,5/21/1900,56,51,0,99.999,99.999,0
1603,5/22/1900,58,50,0,99.999,99.999,0
1604,5/23/1900,64,50,0,99.999,99.999,0
1605,5/24/1900,72,59,0,99.999,99.999,0
1606,5/25/1900,73,64,0,99.999,99.999,0
1607,5/26/1900,64,54,0,99.999,99.999,0
1608,5/27/1900,66,49,0,99.999,99.999,0
1609,5/28/1900,72,64,0,99.999,99.999,0
1610,5/29/1900,55,49,0,99.999,99.999,0
