Day ,Month,Year,Site,Transect,M_cymela,P_polyxenes,C_pegala
10,June,2016,WO,A,0,0,0
10,June,2016,WO,B,0,0,0
10,June,2016,GH,A,0,0,0
10,June,2016,GH,B,0,0,0
10,June,2016,SF,A,0,0,0
10,June,2016,SF,B,0,0,0
11,June,2016,WO,A,0,0,0
11,June,2016,WO,B,0,0,0
11,June,2016,GH,A,0,0,0
11,June,2016,GH,B,0,0,0
11,June,2016,SF,A,0,0,0
11,June,2016,SF,B,0,0,0
12,June,2016,WO,A,0,0,0
12,June,2016,WO,B,1,1,0
12,June,2016,GH,A,1,0,0
12,June,2016,GH,B,0,0,0
12,June,2016,SF,A,0,0,0
12,June,2016,SF,B,1,0,0
24,June,2016,WO,A,0,0,0
24,June,2016,WO,B,0,0,0
24,June,2016,GH,A,0,0,0
24,June,2016,GH,B,0,0,0
24,June,2016,SF,A,0,0,0
24,June,2016,SF,B,0,0,0
25,June,2016,WO,A,0,0,0
25,June,2016,WO,B,0,0,0
25,June,2016,GH,A,0,0,0
25,June,2016,GH,B,0,0,0
25,June,2016,SF,A,0,0,0
25,June,2016,SF,B,0,0,0
26,June,2016,WO,A,0,0,0
26,June,2016,WO,B,0,0,0
26,June,2016,GH,A,0,0,0
26,June,2016,GH,B,0,0,0
26,June,2016,SF,A,0,0,0
26,June,2016,SF,B,0,0,0
6,July,2016,WO,A,1,0,1
6,July,2016,WO,B,0,0,1
6,July,2016,GH,A,1,0,0
6,July,2016,GH,B,0,1,0
6,July,2016,SF,A,0,0,0
6,July,2016,SF,B,1,0,0
7,July,2016,WO,A,1,0,0
7,July,2016,WO,B,1,0,1
7,July,2016,GH,A,0,0,0
7,July,2016,GH,B,1,0,0
7,July,2016,SF,A,0,1,0
7,July,2016,SF,B,0,0,1
8,July,2016,WO,A,1,0,0
8,July,2016,WO,B,0,0,1
8,July,2016,GH,A,0,1,0
8,July,2016,GH,B,1,1,0
8,July,2016,SF,A,1,1,1
8,July,2016,SF,B,2,0,0
